,rank,title,world_lifetime_gross,studio,domestic_opening_gross,budget,MPAA_rating,run_time,genre_list,lead_name,lead_height_m,lead_is_female,audience_score,tomatometer,international_movie,lead_age_years
824,825,Teenage Mutant Ninja Turtles,201965915,New Line Cinema,25398367.0,13500000.0,,93.0,"['Action', 'Adventure', 'Comedy', 'Family', 'Sci-Fi']",Judith Hoag,1.7,True,60.0,34.0,False,22.00410107232489
825,826,Kindergarten Cop,201957688,Universal Pictures,7918560.0,15000000.0,,111.0,"['Action', 'Comedy', 'Crime']",Arnold Schwarzenegger,1.88,False,52.0,51.0,False,42.97879116282607
826,827,Birds of Prey,201858461,Warner Bros.,33010017.0,84500000.0,R,109.0,"['Action', 'Adventure', 'Comedy', 'Crime']",Margot Robbie,1.68,True,78.0,79.0,False,30.006835120541485
827,828,Straight Outta Compton,201634991,Universal Pictures,60200180.0,28000000.0,R,147.0,"['Biography', 'Drama', 'History', 'Music']",O'Shea Jackson Jr.,1.82,False,91.0,89.0,False,23.972632899840296
829,830,Valkyrie,201545517,Other,21027007.0,75000000.0,PG-13,121.0,"['Drama', 'History', 'Thriller', 'War']",Tom Cruise,1.7,False,65.0,62.0,False,46.05887329834969
830,831,Open Season,200811689,Sony Pictures Entertainment (SPE),23624548.0,85000000.0,PG,86.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",Ashton Kutcher,1.89,False,57.0,48.0,False,28.060246026313788
833,834,Percy Jackson: Sea of Monsters,199850315,Twentieth Century Fox,14401054.0,90000000.0,PG,106.0,"['Adventure', 'Family', 'Fantasy', 'Thriller']",Logan Lerman,1.71,False,55.0,42.0,False,20.96921248764165
834,835,Two Weeks Notice,199043471,Warner Bros.,14328494.0,60000000.0,PG-13,101.0,"['Comedy', 'Romance']",Sandra Bullock,1.71,True,59.0,42.0,False,37.98495132709712
835,836,RED,199006387,Summit Entertainment,21761408.0,58000000.0,PG-13,111.0,"['Action', 'Comedy', 'Crime', 'Thriller']",Bruce Willis,1.83,False,72.0,72.0,False,54.98700851775801
839,840,50 First Dates,198520934,Sony Pictures Entertainment (SPE),39852237.0,75000000.0,PG-13,99.0,"['Comedy', 'Drama', 'Romance']",Adam Sandler,1.77,False,65.0,45.0,False,38.009569168758084
840,841,Total Recall,198467168,Sony Pictures Entertainment (SPE),25577758.0,125000000.0,PG-13,118.0,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",Colin Farrell,1.78,False,78.0,82.0,False,35.920608031028976
845,846,Christopher Robin,197744377,Walt Disney Studios Motion Pictures,24585139.0,75000000.0,PG,104.0,"['Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy']",Ewan McGregor,1.77,False,83.0,72.0,False,46.91855844550916
846,847,Jack the Giant Slayer,197687603,Warner Bros.,27202226.0,195000000.0,PG-13,114.0,"['Adventure', 'Comedy', 'Family', 'Fantasy']",Nicholas Hoult,1.89,False,55.0,52.0,False,24.057475853677083
847,848,Smurfs: The Lost Village,197183546,Sony Pictures Entertainment (SPE),13210449.0,60000000.0,PG,90.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",Demi Lovato,1.6,True,54.0,40.0,False,25.026684538748192
849,850,Panic Room,197079546,Sony Pictures Entertainment (SPE),30056751.0,48000000.0,R,112.0,"['Crime', 'Drama', 'Thriller']",Jodie Foster,1.6,True,64.0,75.0,False,40.02736329758917
850,851,The Other Woman,196710396,Twentieth Century Fox,24763752.0,40000000.0,PG-13,109.0,"['Comedy', 'Romance']",Cameron Diaz,1.74,True,57.0,26.0,False,41.965769260019776
852,853,Beowulf,196393745,Paramount Pictures,27515871.0,150000000.0,PG-13,115.0,"['Action', 'Adventure', 'Animation', 'Fantasy']",Ray Winstone,1.75,False,50.0,71.0,False,49.984958932238186
853,854,The Vow,196114570,Screen Gems,41202458.0,30000000.0,PG-13,104.0,"['Comedy', 'Drama', 'Romance']",Rachel McAdams,1.63,True,63.0,31.0,False,33.97671115674196
855,856,Tropic Thunder,195702963,DreamWorks,25812796.0,92000000.0,R,107.0,"['Action', 'Comedy', 'War']",Ben Stiller,1.68,False,70.0,82.0,False,42.9513974446726
858,859,The BFG,195243411,Walt Disney Studios Motion Pictures,18775350.0,140000000.0,PG,117.0,"['Adventure', 'Family', 'Fantasy']",Mark Rylance,1.73,False,57.0,74.0,False,56.03286371587193
859,860,Rocketman,195179299,Paramount Pictures,25725722.0,40000000.0,R,121.0,"['Biography', 'Drama', 'Music', 'Musical']",Taron Egerton,1.75,False,88.0,89.0,False,30.03694957791467
